date,time,count
2021:02:06,00:04:42,20
2021:02:06,00:08:38,4
2021:02:06,00:12:24,7
2021:02:06,00:17:47,14
2021:02:06,01:03:23,20
2021:02:06,01:09:06,4
2021:02:06,01:13:54,7
2021:02:06,01:19:56,14
2021:02:08,19:42:55,15
2021:02:08,19:43:24,2
2021:02:08,19:44:25,1
2021:02:08,19:44:46,0
2021:02:08,19:44:58,0
2021:02:08,19:45:25,0
2021:02:08,19:45:48,1
2021:02:08,19:46:13,0
2021:02:08,19:46:38,0
2021:02:08,19:46:48,0
2021:02:08,19:47:09,0
2021:02:08,19:47:18,0
2021:02:08,19:47:45,0
2021:02:08,19:47:58,1
2021:02:08,19:48:40,0
2021:02:08,19:48:46,0
2021:02:09,00:50:40,19
2021:02:22,15:59:12,22
2021:02:22,15:59:15,0
2021:02:22,16:01:21,6
2021:02:22,16:01:30,0
2021:02:22,16:21:10,22
2021:02:22,16:21:11,0
2021:02:23,19:13:51,31
2021:03:05,08:55:53,24
2021:03:10,16:14:48,42
2021:03:10,16:15:42,54
2021:03:10,16:15:47,55
2021:03:10,16:18:39,70
2021:03:10,16:22:40,91
2021:03:10,16:24:07,104
2021:03:10,16:38:17,29
2021:03:10,16:38:24,30
2021:03:10,16:38:53,34
2021:03:10,16:41:46,24
2021:03:10,16:41:50,24
2021:03:10,16:43:28,24
2021:03:10,16:43:41,25
2021:03:10,16:43:46,26
2021:03:10,16:43:49,26
2021:03:10,17:04:17,23
2021:03:10,17:04:21,23
2021:03:10,17:05:32,23
2021:03:10,17:05:40,23
2021:03:10,17:05:48,23
2021:03:10,17:07:05,24
2021:03:10,17:07:14,24
2021:03:10,17:07:27,27
2021:03:10,17:08:18,23
2021:03:10,17:08:20,23
2021:03:10,17:08:27,23
2021:03:10,17:08:40,24
2021:03:10,17:08:45,24
2021:03:10,17:09:36,23
2021:03:10,17:09:44,23
2021:03:10,17:14:57,26
2021:03:10,17:15:50,33
2021:03:10,17:17:20,27
2021:03:10,17:17:42,30
2021:03:10,17:17:55,32
2021:03:10,17:18:10,36
2021:03:10,17:18:20,36
2021:03:10,17:18:32,36
2021:03:10,17:19:12,41
2021:03:10,17:19:27,42
2021:03:10,17:19:34,43
2021:03:10,17:19:47,47
2021:03:10,17:20:07,51
2021:03:10,17:23:19,19
2021:03:10,17:24:07,22
2021:03:10,17:24:28,24
2021:03:10,17:24:35,24
2021:03:10,17:25:11,28
2021:03:10,17:25:16,28
2021:03:10,17:25:25,28
2021:03:10,17:25:27,29
2021:03:10,17:25:40,31
2021:03:10,17:25:47,31
2021:03:10,17:26:07,35
2021:03:10,17:26:12,35
2021:03:10,17:26:38,39
2021:03:10,17:26:45,39
2021:03:10,17:26:57,41
2021:03:10,17:26:59,41
2021:03:10,17:27:00,41
2021:03:10,17:27:27,43
2021:03:10,17:27:29,43
2021:03:10,17:27:49,48
2021:03:16,21:51:20,16
2021:03:16,21:51:30,16
2021:03:16,21:51:45,16
2021:03:16,21:51:54,16
2021:03:16,21:52:14,17
2021:03:16,21:52:32,17
2021:03:16,21:52:54,17
2021:03:16,21:53:21,18
2021:03:16,21:53:28,18
2021:03:16,21:55:41,16
2021:03:16,21:55:42,16
2021:03:16,21:55:43,16
2021:03:16,21:56:19,17
2021:03:16,21:56:22,17
2021:03:16,21:57:30,18
2021:03:16,21:58:06,19
2021:03:16,21:58:19,19
2021:03:16,21:59:23,22
2021:03:16,21:59:46,23
2021:03:16,22:01:00,23
2021:03:16,22:01:05,24
2021:03:16,22:01:28,24
2021:03:16,22:01:36,24
2021:03:16,22:02:47,26
2021:03:16,22:02:50,26
2021:03:16,22:03:06,26
2021:03:16,22:03:29,26
2021:03:17,00:34:24,16
2021:03:17,00:34:35,0
2021:03:17,00:34:37,1
2021:03:17,00:34:45,0
2021:03:17,00:35:02,0
2021:03:17,00:36:49,4
2021:03:17,00:37:22,2
2021:03:17,00:37:32,0
2021:03:17,00:37:34,0
2021:03:17,00:37:38,0
2021:03:17,00:37:42,0
2021:03:17,00:37:50,0
2021:03:17,00:38:10,0
2021:03:17,00:38:25,3
2021:03:17,00:38:28,0
2021:03:17,00:38:33,1
2021:03:17,00:38:40,0
2021:03:17,00:38:57,2
2021:03:17,00:39:00,1
2021:03:17,00:39:19,1
2021:03:17,00:39:31,2
2021:03:17,00:39:35,0
2021:03:17,00:39:42,0
2021:03:17,00:39:45,0
2021:03:19,23:39:21,17
2021:03:19,23:39:53,3
2021:03:19,23:40:38,3
2021:03:19,23:40:49,0
2021:03:19,23:41:19,2
2021:03:19,23:41:28,0
2021:03:19,23:42:11,4
2021:03:19,23:42:23,1
2021:03:19,23:42:59,5
2021:03:19,23:59:36,17
2021:03:19,23:59:44,0
2021:03:20,00:01:16,4
2021:03:20,00:02:48,5
2021:03:20,00:08:45,17
2021:03:20,00:09:11,1
2021:03:20,00:10:25,4
2021:03:20,00:10:41,1
2021:03:20,00:10:44,0
2021:03:20,00:11:26,2
2021:03:20,00:12:26,7
2021:03:20,00:12:39,2
2021:03:20,00:15:54,17
2021:03:20,00:16:14,1
2021:03:20,00:16:53,3
2021:03:20,00:17:08,1
2021:03:20,00:17:49,1
2021:03:20,00:17:50,0
2021:03:20,00:17:59,1
2021:03:20,00:18:08,0
2021:03:20,00:18:23,0
2021:03:20,01:04:03,21
2021:03:20,01:04:20,0
2021:03:20,01:04:31,1
2021:03:20,01:05:21,3
2021:03:20,01:06:21,8
2021:03:20,01:09:31,17
2021:03:20,01:09:33,0
2021:03:20,01:09:43,0
2021:03:20,01:10:26,2
2021:03:20,01:11:16,3
2021:03:20,01:11:35,1
2021:03:20,01:11:38,0
2021:03:20,01:13:38,11
2021:03:20,01:37:47,19
2021:03:20,01:37:50,0
2021:03:20,01:38:15,2
2021:03:20,01:39:46,2
2021:03:20,01:40:03,2
2021:03:20,01:40:08,1
2021:03:20,01:41:11,7
2021:03:20,01:41:19,0
2021:03:20,13:16:15,21
2021:03:20,13:16:18,0
2021:03:20,13:16:34,1
2021:03:20,13:17:17,2
2021:03:20,13:17:48,2
2021:03:20,13:18:26,5
2021:03:20,13:18:50,3
2021:03:20,13:36:24,21
2021:03:20,13:37:01,0
2021:03:20,13:37:04,1
2021:03:20,13:37:33,1
2021:03:20,13:37:36,0
2021:03:20,13:38:13,4
2021:03:20,13:38:17,0
2021:03:20,13:41:10,17
2021:03:20,13:42:23,3
2021:03:20,13:43:54,3
2021:03:20,13:44:57,2
2021:03:20,13:44:57,0
2021:03:20,13:45:38,3
2021:03:21,16:24:03,17
2021:03:21,16:24:11,0
2021:03:21,16:24:20,0
2021:03:21,16:24:43,1
2021:03:21,16:25:06,1
2021:03:21,16:25:18,2
2021:03:21,16:25:30,0
2021:03:21,16:26:00,0
2021:03:21,16:26:29,2
2021:03:21,16:27:02,3
2021:03:21,16:27:05,0
2021:03:21,16:27:24,2
2021:03:21,16:27:55,3
